scheme_name,scheme_level,ministry,beneficiary_category,scheme_type,support_type,income_limit,minimum_loan,maximum_loan,project_cost_min,project_cost_max,interest_rate,subsidy,moratorium,tenure,purpose,education_eligible,age_min,age_max,state,active_status,channel_partner_type,application_method,source_url
Stand-Up India,Central,"Department of Financial Services, Ministry of Finance",SC;ST;Women,Composite Loan,Credit,,1000000,10000000,,,,Margin money up to 15% subject to conditions,Up to 7 years including moratorium up to 18 months,greenfield manufacturing;services;trading;allied agriculture,No,18,,All India,Closed/ended 31-Mar-2025; successor scheme announced but current implementation must be verified,Scheduled Commercial Banks,Historical reference only,https://financialservices.gov.in/stand-india-scheme-supi,
Credit Guarantee Fund Trust for Micro and Small Enterprises (CGTMSE),Central,Ministry of MSME / CGTMSE,Micro and Small Enterprises,Credit Guarantee,Guarantee,,,,,,Guarantee support for eligible MSE credit facilities,As per CGTMSE guidelines,,micro and small enterprise credit,No,,,All India,Active,Member Lending Institutions,Through eligible member lending institutions,https://www.cgtmse.in/,
Interest Subsidy Eligibility Certificate (ISEC) Scheme,Central,Ministry of MSME,Khadi institutions,Interest Subsidy,Interest Subsidy,,,,,,Concessional interest support for eligible Khadi institutions,As per scheme guidelines,,khadi production;working capital,No,,,All India,Active/subject to current guidelines,Eligible financial institutions,Through implementing agencies,https://msme.gov.in/schemes,
SFURTI - Scheme of Fund for Regeneration of Traditional Industries,Central,Ministry of MSME,Traditional industry clusters;artisans,Cluster Support,Grant/Infrastructure/Capacity Building,,,,,,Cluster development support,As per scheme guidelines,,traditional industries;artisan clusters;livelihood,No,,,All India,Active,Implementing agencies;technical agencies;cluster institutions,Through SFURTI implementation framework,https://msme.gov.in/schemes,
Micro & Small Enterprises Cluster Development Programme (MSE-CDP),Central,Ministry of MSME,Micro and Small Enterprises,Cluster Support,Grant/Infrastructure,,,,,,Common facility centres and infrastructure support,As per scheme guidelines,,MSME clusters;common infrastructure;technology,No,,,All India,Active,MSME implementing agencies;cluster SPVs,Through MSME cluster development process,https://msme.gov.in/schemes,
Performance and Credit Rating Scheme,Central,Ministry of MSME,Micro and Small Enterprises,Business Support,Credit Rating Support,,,,,,Support toward performance/credit rating cost,As per scheme guidelines,,MSME credit readiness;credit rating,No,,,All India,Active/subject to current guidelines,Credit rating agencies,Through scheme process,https://msme.gov.in/schemes,
Marketing Assistance & Technology Upgradation (MATU),Central,Ministry of MSME,MSMEs,Business Support,Marketing/Technology Support,,,,,,Marketing and technology upgradation assistance,As per scheme guidelines,,MSME marketing;technology upgradation,No,,,All India,Active/subject to current guidelines,MSME implementing agencies,Through MSME scheme process,https://msme.gov.in/schemes,
Financial Support to MSMEs in ZED Certification Scheme,Central,Ministry of MSME,MSMEs,Certification Support,Subsidy/Support,,,,,,Financial support for ZED certification and related activities,As per scheme guidelines,,quality;zero defect zero effect;MSME certification,No,,,All India,Active/subject to current guidelines,MSME implementing agencies,Through ZED/MSME portal,https://msme.gov.in/schemes,
Agriculture Infrastructure Fund (AIF),Central,Department of Agriculture & Farmers Welfare,Eligible agriculture infrastructure applicants,Loan + Interest Support,Credit + Interest Subvention,,,,0,,,Interest subvention and credit guarantee support as per scheme,As per scheme guidelines,agriculture infrastructure;post-harvest infrastructure,No,,,All India,Active,Banks;financial institutions,Through lending institutions / JanSamarth,https://www.jansamarth.in/,
Agri Clinics and Agri Business Centres (ACABC),Central,Ministry of Agriculture & Farmers Welfare,Agriculture graduates/eligible applicants,Loan + Subsidy,Credit + Subsidy,,,,0,,,Back-ended subsidy subject to scheme conditions,As per scheme guidelines,agri clinic;agri business;agriculture services,No,,,All India,Active,Banks;Nodal training institutions,Through ACABC implementing framework / JanSamarth,https://www.jansamarth.in/,
